Title,Price,Brand,Product SKU,Reviews Comment
"Essence Mascara Lash Princess",9.99,"Essence","BEA-ESS-ESS-001","Would not recommend!|Very satisfied!|Highly impressed!"
"Eyeshadow Palette with Mirror",19.99,"Glamour Beauty","BEA-GLA-EYE-002","Great product!|Awesome product!|Poor quality!"
"Powder Canister",14.99,"Velvet Touch","BEA-VEL-POW-003","Would buy again!|Highly impressed!|Very dissatisfied!"
"Red Lipstick",12.99,"Chic Cosmetics","BEA-CHI-LIP-004","Great product!|Great product!|Would buy again!"
"Red Nail Polish",8.99,"Nail Couture","BEA-NAI-NAI-005","Poor quality!|Great product!|Very unhappy with my purchase!"
"Calvin Klein CK One",49.99,"Calvin Klein","FRA-CAL-CAL-006","Very disappointed!|Fast shipping!|Not as described!"
"Chanel Coco Noir Eau De",129.99,"Chanel","FRA-CHA-CHA-007","Highly impressed!|Awesome product!|Very happy with my purchase!"
"Dior J'adore",89.99,"Dior","FRA-DIO-DIO-008","Great value for money!|Great value for money!|Great product!"
"Dolce Shine Eau de",69.99,"Dolce & Gabbana","FRA-DOL-DOL-009","Would buy again!|Highly recommended!|Very happy with my purchase!"
"Gucci Bloom Eau de",79.99,"Gucci","FRA-GUC-GUC-010","Very dissatisfied!|Very happy with my purchase!|Highly impressed!"
"Annibale Colombo Bed",1899.99,"Annibale Colombo","FUR-ANN-ANN-011","Would not recommend!|Highly impressed!|Poor quality!"
"Annibale Colombo Sofa",2499.99,"Annibale Colombo","FUR-ANN-ANN-012","Very unhappy with my purchase!|Fast shipping!|Poor quality!"
"Bedside Table African Cherry",299.99,"Furniture Co.","FUR-FUR-BED-013","Excellent quality!|Excellent quality!|Highly recommended!"
"Knoll Saarinen Executive Conference Chair",499.99,"Knoll","FUR-KNO-KNO-014","Waste of money!|Very dissatisfied!|Would buy again!"
"Wooden Bathroom Sink With Mirror",799.99,"Bath Trends","FUR-BAT-WOO-015","Fast shipping!|Very pleased!|Poor quality!"
"Apple",1.99,"","GRO-BRD-APP-016","Very satisfied!|Very dissatisfied!|Very unhappy with my purchase!"
"Beef Steak",12.99,"","GRO-BRD-BEE-017","Would not recommend!|Fast shipping!|Great value for money!"
"Cat Food",8.99,"","GRO-BRD-FOO-018","Would not recommend!|Very unhappy with my purchase!|Very disappointed!"
"Chicken Meat",9.99,"","GRO-BRD-CHI-019","Great product!|Highly recommended!|Not worth the price!"
"Cooking Oil",4.99,"","GRO-BRD-COO-020","Very happy with my purchase!|Would not recommend!|Would buy again!"
"Cucumber",1.49,"","GRO-BRD-CUC-021","Great product!|Great value for money!|Poor quality!"
"Dog Food",10.99,"","GRO-BRD-FOO-022","Excellent quality!|Awesome product!|Great product!"
"Eggs",2.99,"","GRO-BRD-EGG-023","Disappointing product!|Poor quality!|Very pleased!"
"Fish Steak",14.99,"","GRO-BRD-FIS-024","Would not buy again!|Excellent quality!|Great value for money!"
"Green Bell Pepper",1.29,"","GRO-BRD-GRE-025","Highly recommended!|Would not recommend!|Excellent quality!"
"Green Chili Pepper",0.99,"","GRO-BRD-GRE-026","Great product!|Waste of money!|Very disappointed!"
"Honey Jar",6.99,"","GRO-BRD-HON-027","Very disappointed!|Highly impressed!|Very disappointed!"
"Ice Cream",5.49,"","GRO-BRD-CRE-028","Very pleased!|Excellent quality!|Highly impressed!"
"Juice",3.99,"","GRO-BRD-JUI-029","Excellent quality!|Would buy again!|Awesome product!"
"Kiwi",2.49,"","GRO-BRD-KIW-030","Highly recommended!|Would not buy again!|Fast shipping!"
